	star	review
85	평점5	"배송도 빠르고 아직 사용하기 전이지만 깨진 부분없이 잘 왔습니다. 빨리 아기 데리고 나가서 사용해보고싶네요~ 모양도 너무 이뻐요ㅋㅋ
배송도 빠르고 아직 사용하기 전이지만 깨진 부분없이 잘 왔습니다. 빨리 아기 데리고 나가서 사용해보고싶네요~ 모양도 너무 이뻐요ㅋㅋ"
86	평점5	"날 좋아서 밖에서 아이 놀아줄때 해주려고 샀어요!! 방울이 많이 나와서 아이가 더 좋아하네요 :)
날 좋아서 밖에서 아이 놀아줄때 해주려고 샀어요!! 방울이 많이 나와서 아이가 더 좋아하네요 :)"
87	평점5	"비눗방울이 잘 만들어져요ㅎㅎ아기는 아직 비눗방울 못 불어서,엄마아빠가 실컷 잘 가지고 놀았어요 ><
비눗방울이 잘 만들어져요ㅎㅎ
아기는 아직 비눗방울 못 불어서,
엄마아빠가 실컷 잘 가지고 놀았어요 ><"
88	평점5	"아이가 좋아해요..
아이가 좋아해요.."
89	평점5	"문센에서 너무좋아하길래 구매했네요집에서도 해주려구요!!
문센에서 너무좋아하길래 구매했네요
집에서도 해주려구요!!"
90	평점5	"방울이 부드럽게 많이 나와서 좋아요! ! 아이가 좋아해서 목욕시간마다 비눗방울놀이하고 놀이도해요!
방울이 부드럽게 많이 나와서 좋아요! ! 아이가 좋아해서 목욕시간마다 비눗방울놀이하고 놀이도해요!"
91	평점5	"배송 빨라요 특가로 구매했어요 아기가 좋아했음 좋겠어요
배송 빨라요
특가로 구매했어요 아기가 좋아했음 좋겠어요"
92	평점3	"생각보다 아이가 사용하기에 불편하네요...ㅠㅠ 다른 제품을 놓고 사용중이에요..ㅠㅠ액이 들어가는 공간이 너무 낮아서 금방 쏟아지고요....
생각보다 아이가 사용하기에 불편하네요...ㅠㅠ 다른 제품을 놓고 사용중이에요..ㅠㅠ
액이 들어가는 공간이 너무 낮아서 금방 쏟아지고요...."
93	평점4	"비누방울이 너무 자잘하게 나온다는점 거품이 생기면 방울이 잘 안불어진다는점.그것빼면 그냥저냥 쓸만해요.
비누방울이 너무 자잘하게 나온다는점
거품이 생기면 방울이 잘 안불어진다는점.
그것빼면 그냥저냥 쓸만해요."
94	평점5	"아기가 비눗방울을 좋아해서 구매했는데, 너무 좋아해서 여전히 외출할때 잘 사용하고 있어요! 갬성 사진 찍을때도 너무 좋아요.
아기가 비눗방울을 좋아해서 구매했는데, 너무 좋아해서 여전히 외출할때 잘 사용하고 있어요! 갬성 사진 찍을때도 너무 좋아요."
95	평점5	"너무 잘 쓰고 있어요 배송도 빠르고 아이도 너무 조아하네용 ㅋㅋㅋ 그래서 추가 주문 하려고 합니다 비눗방울도 잘 안터지고 멀리멀리 날아가서 좋아요
너무 잘 쓰고 있어요 배송도 빠르고 아이도 너무 조아하네용 ㅋㅋㅋ 그래서 추가 주문 하려고 합니다
비눗방울도 잘 안터지고 멀리멀리 날아가서 좋아요"
96	평점4	"8갤 울 애기는 관심없고.. ㅠㅠ놀이터에서 다른 큰 아가들 놀아주고 왔네요 ㅋㅋ
8갤 울 애기는 관심없고.. ㅠㅠ
놀이터에서 다른 큰 아가들 놀아주고 왔네요 ㅋㅋ"
97	평점5	"비누방울이 너무 자잘자잘해서 아쉬웠어요
비누방울이 너무 자잘자잘해서 아쉬웠어요"
98	평점5	"감사합니다:) 잘쓸께요 또 구매할께요! 좋아요
감사합니다:) 잘쓸께요 또 구매할께요! 좋아요"
99	평점5	"좋아요애들이 엄청좋아해용ㅋㅋ
좋아요
애들이 엄청좋아해용ㅋ
ㅋ"
100	평점5	"아기가 좋아하는 비눗방울비눗방울이 정말 많이 나오네요아가가 비눗방울이 처음이라 어리둥절 하다가 나중엔 비눗방울 잡으려고 신나게 달렸어요
아기가 좋아하는 비눗방울
비눗방울이 정말 많이 나오네요
아가가 비눗방울이 처음이라 어리둥절 하다가 나중엔 비눗방울 잡으려고 신나게 달렸어요"
101	평점5	"아이가 너무 좋아해요 ㅎㅎ감사합니다
아이가 너무 좋아해요 ㅎㅎ감사합니다"
102	평점5	"애기보다 어른이 더 좋아해요 ㅋㅋㅋ
애기보다 어른이 더 좋아해요 ㅋㅋㅋ"
103	평점5	"아기가 좋아해요 :) 감사해요🤍
아기가 좋아해요 :) 감사해요🤍"
104	평점1	"기대 엄청 하고 구매했는데 역류하고 방울도 별로네요……조카한테 선물해줬는데 실망입니다
기대 엄청 하고 구매했는데 역류하고 방울도 별로네요……
조카한테 선물해줬는데 실망입니다"
105	평점5	"잘받았습니다 감사합니다
잘받았습니다 감사합니다"
106	평점5	"아가팡인가요? 배송이 어쩜 이리도빠른지 ㅎㅎ주말에 나들이갈때 사진찍을때 해봐야겠어요ㅎㅎ아기가 아직 너무어려서 혼자서는 못하지만 정말 좋아할걱같아용ㅎㅎㅎ감사합니다
아가팡인가요? 배송이 어쩜 이리도빠른지 ㅎㅎ주말에 나들이갈때 사진찍을때 해봐야겠어요ㅎㅎ아기가 아직 너무어려서 혼자서는 못하지만 정말 좋아할걱같아용ㅎㅎㅎ감사합니다"
107	평점5	"매번사용중인 제품 굿굿굿
매번사용중인 제품 굿굿굿"
108	평점5	"아기가 좋아해여 ㅎㅎㅎ
아기가 좋아해여 ㅎㅎㅎ"
109	평점5	"배송진짜파늡니다ㅋㅋㅋ
배송진짜파늡니다ㅋㅋㅋ"
110	평점2	"역류해요..ㅠㅠ 아기가 혼자 하고싶대서 줬는데 역류해요ㅜㅜ
역류해요..ㅠㅠ 아기가 혼자 하고싶대서 줬는데 역류해요ㅜㅜ"
111	평점5	"조아요조아요조아요조아요
조아요조아요조아요조아요"
